Poll,Date,Sample,Type,DEM,GOP
Rasmussen Reports,08/23/18,2500,Likely,46,41
Rasmussen Reports,08/16/18,2500,Likely,44,44
Rasmussen Reports,08/09/18,2500,Likely,48,41
Rasmussen Reports,08/02/18,2500,Likely,45,41
Economist/YouGov,08/28/18,1249,Registered,45,39
Harvard-Harris,08/23/18,1330,Registered,45,37
NBC News/Wall St. Jrnl,08/22/18,900,Registered,50,42
Economist/YouGov,08/21/18,1247,Registered,44,38
FOX News,08/21/18,1009,Registered,49,38
Reuters/Ipsos,08/21/18,1885,Registered,41,37
Monmouth,08/19/18,725,Registered,48,43
Economist/YouGov,08/14/18,1250,Registered,44,40
Reuters/Ipsos,08/14/18,1860,Registered,45,36
Quinnipiac,08/13/18,1175,Registered,51,42
CNN,08/12/18,921,Registered,52,41
Pew Research,08/12/18,3986,Registered,46,39
Economist/YouGov,08/07/18,1289,Registered,44,41
Reuters/Ipsos,08/07/18,1479,Registered,41,39
IBD/TIPP,08/02/18,878,Registered,45,45
Economist/YouGov,07/31/18,1222,Registered,44,40
Reuters/Ipsos,07/31/18,1571,Registered,42,36
