State,Clinton,Trump,Obama,Romney
Alabama,34.36,62.08,38.36,60.55
Alaska,36.55,51.28,40.81,54.8
Arizona,44.58,48.08,44.45,53.48
Arkansas,33.65,60.57,36.88,60.57
California,61.48,31.49,60.16,37.07
Colorado,48.16,43.25,51.45,46.09
Connecticut,54.57,40.93,58.06,40.72
Delaware,53.09,41.71,58.61,39.98
Florida,47.41,48.6,49.9,49.03
Georgia,45.35,50.44,45.39,53.19
Hawaii,62.22,30.04,70.55,27.84
Idaho,27.48,59.25,32.4,64.09
Illinois,55.24,38.36,57.5,40.66
Indiana,37.46,56.47,43.84,54.04
Iowa,41.74,51.15,51.99,46.18
Kansas,35.74,56.16,38,59.59
Kentucky,32.68,62.52,37.78,60.47
Louisiana,38.45,58.09,40.58,57.78
Maine,47.83,44.87,56.27,40.98
Maryland,60.33,33.91,61.97,35.9
Massachusetts,60.01,32.81,60.67,37.52
Michigan,47.03,47.25,54.04,44.58
Minnesota,46.44,44.93,52.65,44.96
Mississippi,40.06,57.86,43.79,55.29
Missouri,37.87,56.38,44.28,53.64
Montana,35.41,55.65,41.66,55.3
Nebraska,33.7,58.75,38.03,59.8
Nevada,47.92,45.5,52.36,45.68
New Hampshire,46.83,46.46,51.98,46.4
New Jersey,54.99,41,58.25,40.5
New Mexico,48.26,40.04,52.99,42.84
New York,59,36.51,63.35,35.17
North Carolina,46.17,49.83,48.35,50.39
North Dakota,27.23,62.96,38.69,58.32
Ohio,43.24,51.31,50.58,47.6
Oklahoma,28.93,65.32,33.23,66.77
Oregon,50.07,39.09,54.24,42.15
Pennsylvania,47.46,48.17,51.95,46.57
Rhode Island,54.41,38.9,62.7,35.24
South Carolina,40.67,54.94,44.09,54.56
South Dakota,31.74,61.53,39.87,57.89
Tennessee,34.72,60.72,39.04,59.42
Texas,43.12,52.1,41.35,57.13
Utah,27.17,45.05,24.67,72.55
Vermont,56.68,30.27,66.57,30.97
Virginia,49.75,44.43,51.16,47.28
Washington,52.54,36.83,55.8,41.03
West Virginia,26.18,67.85,35.45,62.14
Wisconsin,46.45,47.22,52.83,45.89
Wyoming,21.88,68.17,27.82,68.64
